Code,ID,Mode,Level,Nationality,L1,Concordance Line,Verb,BCC_COLL,Functions,BCC_Frequency,CSL_Score,CSL_COLL,Reliability,Accessibility,Semantics,Error,Error-Type,Details
S_B_F_AF_TG,AF_TG,S,L1,TG,EN,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
W_B_F_LX_RU,LX_RU,W,L1,RU,RU,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_B_F_JAN_RU,JAN_RU,S,L1,RU,RU,[GLCLC text removed],好,Repelled,EVAL,60.0,0.0,Repelled,Yes,1.0,Attribute,,,
S_B_M_AILAN_PK,AILAN_PK,S,L1,PK,Other,[GLCLC text removed],好,Repelled,EVAL,60.0,0.0,Repelled,Yes,1.0,Attribute,,,
S_B_M_AXH_UZ,AXH_UZ,S,L1,UZ,TK,[GLCLC text removed],好,Repelled,EVAL,60.0,0.0,Repelled,Yes,1.0,Attribute,,,
S_B_M_LMN_TH_1,LMN_TH,S,L1,TH,TH,[GLCLC text removed],好,Repelled,EVAL,60.0,0.0,Repelled,Yes,1.0,Attribute,,,
W_B_F_AIML_KZ_2,AIML_KZ,W,L1,KZ,TK,[GLCLC text removed],好,Repelled,EVAL,60.0,0.0,Repelled,Yes,1.0,Attribute,,,
W_B_F_XY_UZ,XY_UZ,W,L1,UZ,TK,[GLCLC text removed],影响,Attracted,EVAL,733.0,11.12,Attracted,Yes,2.0,Functional,,,
W_B_M_MWH_VE_3,MWH_VE,W,L1,VE,ES,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_B_F_DAN_PE,DAN_PE,W,L1,PE,ES,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_B_M_LBI_TG_2,LBI_TG,W,L1,TG,EN,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
S_B_M_JMJ_KR,JMJ_KR,S,L1,KR,KR,[GLCLC text removed],起,Attracted,EVAL,2379.0,3.71,Attracted,Yes,6.0,Functional,,,
S_B_F_YUL_US+B_F_XPP_TH,XPP_TH,S,L1,TH,TH,[GLCLC text removed],一样,Repelled,DISP,91.0,0.0,Repelled,Yes,2.0,Manner,,,
W_B_M_RYS_VN,RYS_VN,W,L1,VN,VN,[GLCLC text removed],一样,Repelled,DISP,91.0,0.0,Repelled,Yes,2.0,Manner,,,
S_B_M_JMJ_KR,JMJ_KR,S,L1,KR,KR,[GLCLC text removed],习惯,Repelled,MS,130.0,1.85,Attracted,Yes,2.0,Psych,,,
W_B_F_ZZX_KR_1,ZZX_KR,W,L1,KR,KR,[GLCLC text removed],习惯,Repelled,MS,130.0,1.85,Attracted,Yes,2.0,Psych,,,
W_B_F_OLY_RU_4,OLY_RU,W,L1,RU,RU,[GLCLC text removed],习惯,Repelled,MS,130.0,1.85,Attracted,Yes,2.0,Psych,,,
W_B_F_OMLI_TH_4,OMLI_TH,W,L1,TH,TH,[GLCLC text removed],习惯,Repelled,MS,130.0,1.85,Attracted,Yes,2.0,Psych,,,
S_B_F_JAN_RU,JAN_RU,S,L1,RU,RU,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_B_F_JXJ_KR,JXJ_KR,S,L1,KR,KR,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_B_F_LT_ES_2,LT_ES,S,L1,ES,ES,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_B_F_LX_RU,LX_RU,S,L1,RU,RU,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_B_M_HA_ES,HA_ES,S,L1,ES,ES,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_B_M_LZJ_KR,LZJ_KR,S,L1,KR,KR,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_B_M_PSB_KR_2,PSB_KR,S,L1,KR,KR,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_B_F_RFM_VN_3,RFM_VN,S,L1,VN,VN,[GLCLC text removed],亲切,Attracted,DISP,42.0,1.85,Attracted,Yes,4.0,Manner,,,
S_B_M_YJG_RU_2,YJG_RU,S,L1,RU,RU,[GLCLC text removed],爱,Repelled,MS,209.0,0.0,Repelled,Yes,2.0,Psych,,,
W_B_F_JDX_KR,JDX_KR,W,L1,KR,KR,[GLCLC text removed],关照,Attracted,SI,82.0,0.0,Repelled,No,5.0,Social,,,
S_B_F_XSL_CM_2,XSL_CM,S,L1,CM,EN,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
S_B_M_EMILIO_MX,EMILIO_MX,S,L1,MX,ES,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
S_B_M_HSYI_BI,HSYI_BI,S,L1,BI,Other,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
S_B_M_KK_TR,KK_TR,S,L1,TR,TK,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
S_B_M_KK_TR,KK_TR,S,L1,TR,TK,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
S_B_M_PSB_KR_2,PSB_KR,S,L1,KR,KR,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
W_B_F_DBY_VN,DBY_VN,W,L1,VN,VN,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
W_B_F_LZLA_CD,LZLA_CD,W,L1,CD,FR,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
W_B_F_KLL_CM,KLL_CM,W,L1,CM,EN,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
W_B_F_RSHF_VN,RSHF_VN,W,L1,VN,VN,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
S_B_F_DSQC_VN,DSQC_VN,S,L1,VN,VN,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
S_B_F_JCXU_KR,JCXU_KR,S,L1,KR,KR,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
S_B_F_KLL_CM_4,KLL_CM,S,L1,CM,EN,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
S_B_F_LINA_CO_1,LINA_CO,S,L1,CO,ES,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
S_B_F_PSX_KR,PSX_KR,S,L1,KR,KR,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
S_B_M_ABU_KG,ABU_KG,S,L1,KG,TK,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
S_B_M_ALM_TG,ALM_TG,S,L1,TG,EN,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
S_B_M_FLS_SY,FLS_SY,S,L1,SY,AR,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
S_B_M_WS_CM,WS_CM,S,L1,CM,EN,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
S_B_M_XSE_ES,XSE_ES,S,L1,ES,ES,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
S_B_M_ZSZ_KR,ZSZ_KR,S,L1,KR,KR,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
W_B_F_ST_MG,ST_MG,W,L1,MG,Other,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
W_B_F_DSQC_VN_3,DSQC_VN,W,L1,VN,VN,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
W_B_M_AHA_YE_2,AHA_YE,W,L1,YE,AR,[GLCLC text removed],感,Attracted,MS,1119.0,53.75,Attracted,Yes,2.0,Psych,,,
W_B_M_MWH_VE_3,MWH_VE,W,L1,VE,ES,[GLCLC text removed],有,Attracted,EVAL,11370.0,61.17,Attracted,Yes,1.0,Functional,,,
S_B_M_ST_BE,ST_BE,S,L1,BE,Other,[GLCLC text removed],有,Attracted,EVAL,11370.0,77.85,Attracted,Yes,1.0,Functional,,,
S_B_M_JWQ_KR,JWQ_KR,S,L1,KR,KR,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
W_B_F_GH_VN,GH_VN,W,L1,VN,VN,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
W_B_M_LMN_TH_2,LMN_TH,W,L1,TH,TH,[GLCLC text removed],热情,Attracted,DISP,75.0,5.56,Attracted,Yes,2.0,Manner,,,
W_B_F_ND_TG_1,ND_TG,W,L1,TG,EN,[GLCLC text removed],熟悉,Attracted,MS,1180.0,5.56,Attracted,Yes,3.0,Psych,,,
S_B_M_YJG_RU_1,YJG_RU,S,L1,RU,RU,[GLCLC text removed],爱,Repelled,MS,209.0,0.0,Repelled,Yes,2.0,Psych,,,
W_B_M_LZJ_KR,LZJ_KR,W,L1,KR,KR,[GLCLC text removed],给以,Attracted,EVAL,1.0,1.85,Attracted,Yes,6.0,Functional,,,
S_B_M_MJS_KH,MJS_KH,S,L1,KH,Other,[GLCLC text removed],说,Attracted,DA,63257.0,385.55,Attracted,No,1.0,Communication,,,
S_B_F_ST_MG,ST_MG,S,L1,MG,Other,[GLCLC text removed],说,Attracted,DA,63257.0,385.55,Attracted,No,1.0,Communication,,,
S_B_F_ST_MG,ST_MG,S,L1,MG,Other,[GLCLC text removed],说,Attracted,DA,63257.0,385.55,Attracted,No,1.0,Communication,,,
S_B_M_BAD_YE,BAD_YE,S,L1,YE,AR,[GLCLC text removed],说,Attracted,DA,63257.0,385.55,Attracted,No,1.0,Communication,,,
S_B_M_KL_KZ,KL_KZ,S,L1,KZ,TK,[GLCLC text removed],说,Attracted,DA,63257.0,385.55,Attracted,No,1.0,Communication,,,
S_B_M_LMN_TH_2,LMN_TH,S,L1,TH,TH,[GLCLC text removed],说,Attracted,DA,63257.0,385.55,Attracted,No,1.0,Communication,,,
S_B_M_LMN_TH_6,LMN_TH,S,L1,TH,TH,[GLCLC text removed],说,Attracted,DA,63257.0,385.55,Attracted,No,1.0,Communication,,,
S_B_M_YJG_RU_1,YJG_RU,S,L1,RU,RU,[GLCLC text removed],说,Attracted,DA,63257.0,385.55,Attracted,No,1.0,Communication,,,
S_B_M_YJG_RU_1,YJG_RU,S,L1,RU,RU,[GLCLC text removed],说,Attracted,EVAL,1.0,385.55,Attracted,No,1.0,Communication,,,
S_B_M_YJG_RU_1,YJG_RU,S,L1,RU,RU,[GLCLC text removed],说,Attracted,DA,63257.0,385.55,Attracted,No,1.0,Communication,,,
S_B_M_YJG_RU_2,YJG_RU,S,L1,RU,RU,[GLCLC text removed],说,Attracted,DA,63257.0,385.55,Attracted,No,1.0,Communication,,,
W_B_F_ST_MG,ST_MG,W,L1,MG,Other,[GLCLC text removed],说,Attracted,DA,63257.0,385.55,Attracted,No,1.0,Communication,,,
W_B_M_LFD_ID,LFD_ID,W,L1,ID,Other,[GLCLC text removed],说,Attracted,DA,63257.0,385.55,Attracted,No,1.0,Communication,,,
W_B_M_LJL_MG,LJL_MG,W,L1,MG,Other,[GLCLC text removed],说,Attracted,DA,63257.0,385.55,Attracted,No,1.0,Communication,,,
W_B_M_LJL_MG,LJL_MG,W,L1,MG,Other,[GLCLC text removed],说,Attracted,DA,63257.0,385.55,Attracted,No,1.0,Communication,,,
W_B_M_WL_MG,WL_MG,W,L1,MG,Other,[GLCLC text removed],说,Attracted,DA,63257.0,385.55,Attracted,No,1.0,Communication,,,
W_B_F_KP_RU_2,KP_RU,W,L1,RU,RU,[GLCLC text removed],说,Attracted,DA,63257.0,385.55,Attracted,No,1.0,Communication,,,
W_B_F_SHL_TH,SHL_TH,W,L1,TH,TH,[GLCLC text removed],说,Attracted,EVAL,1.0,385.55,Attracted,No,1.0,Communication,,,
S_B_F_ZLE_KR,ZLE_KR,S,L1,KR,KR,[GLCLC text removed],说明,Attracted,DA,397.0,0.0,Repelled,No,3.0,Communication,,,
W_B_F_BYL_BR_3,BYL_BR,W,L1,BR,PT,[GLCLC text removed],行凶,Attracted,SI,14.0,0.0,Repelled,Yes,3.0,Physical,,,
S_I_F_MLY_RU_2,MLY_RU,S,L2,RU,RU,[GLCLC text removed],带来,Attracted,EVAL,820.0,0.0,Repelled,No,6.0,Functional,,,
S_I_F_MLY_RU_2,MLY_RU,S,L2,RU,RU,[GLCLC text removed],带来,Attracted,EVAL,820.0,0.0,Repelled,No,6.0,Functional,,,
S_I_F_MLY_RU_2,MLY_RU,S,L2,RU,RU,[GLCLC text removed],带来,Attracted,EVAL,820.0,0.0,Repelled,No,6.0,Functional,,,
W_I_F_JXJ_KR_3,JXJ_KR,W,L2,KR,KR,[GLCLC text removed],感谢,Attracted,MS,43.0,0.0,Repelled,Yes,3.0,Psych,,,
W_I_F_JXJ_KR_3,JXJ_KR,W,L2,KR,KR,[GLCLC text removed],感谢,Attracted,MS,43.0,0.0,Repelled,Yes,3.0,Psych,,,
W_I_F_TKLS_JP,TKLS_JP,W,L2,JP,JP,[GLCLC text removed],感谢,Attracted,MS,43.0,0.0,Repelled,Yes,3.0,Psych,,,
W_I_F_ZML_TH_10,ZML_TH,W,L2,TH,TH,[GLCLC text removed],有,Attracted,EVAL,11370.0,87.12,Attracted,Yes,1.0,Functional,,,
W_I_F_LWL_ID_5,LWL_ID,W,L2,ID,Other,[GLCLC text removed],生气,Attracted,MS,89.0,0.0,Repelled,Yes,2.0,Psych,,,
W_I_F_NS_ML_1,NS_ML,W,L2,ML,FR,[GLCLC text removed],生气,Attracted,MS,89.0,0.0,Repelled,Yes,2.0,Psych,,,
W_I_F_JXJ_KR_3,JXJ_KR,W,L2,KR,KR,[GLCLC text removed],道歉,Attracted,DA,121.0,0.0,Repelled,No,3.0,Communication,,,
W_I_F_JDHN_KR,JDHN_KR,W,L2,KR,KR,[GLCLC text removed],重要,Repelled,EVAL,400.0,9.27,Attracted,Yes,2.0,Attribute,,,
W_I_F_YTJ_JP,YTJ_JP,W,L2,JP,JP,[GLCLC text removed],感谢,Attracted,MS,43.0,0.0,Repelled,Yes,3.0,Psych,,,
W_I_F_JDR_KR_4,JDR_KR,W,L2,KR,KR,[GLCLC text removed],感谢,Attracted,MS,43.0,0.0,Repelled,Yes,3.0,Psych,,,
W_I_M_ABM_CM,ABM_CM,W,L2,CM,EN,[GLCLC text removed],感谢,Attracted,MS,43.0,0.0,Repelled,Yes,3.0,Psych,,,
W_I_M_GAXZ_JP_1,GAXZ_JP,W,L2,JP,JP,[GLCLC text removed],感谢,Attracted,MS,43.0,0.0,Repelled,Yes,3.0,Psych,,,
W_I_F_PRL_KR_2,PRL_KR,W,L2,KR,KR,[GLCLC text removed],是,Attracted,EVAL,4128.0,18.54,Repelled,Yes,1.0,Functional,,,
W_I_F_SHZ_KR_1,SHZ_KR,W,L2,KR,KR,[GLCLC text removed],一无所知,Attracted,MS,259.0,0.0,Repelled,No,6.0,Psych,,,
W_I_F_WHY_TH,WHY_TH,W,L2,TH,TH,[GLCLC text removed],一样,Repelled,DISP,91.0,0.0,Repelled,Yes,2.0,Manner,,,
W_I_F_CRHI_KR_3,CRHI_KR,W,L2,KR,KR,[GLCLC text removed],一见钟情,Attracted,MS,78.0,0.0,Repelled,Yes,6.0,Psych,,,
S_I_F_MEL_RU_2,MEL_RU,S,L2,RU,RU,[GLCLC text removed],上瘾,Attracted,MS,45.0,0.0,Repelled,Yes,5.0,Psych,,,
W_I_M_HRL_KH_1,HRL_KH,W,L2,KH,Other,[GLCLC text removed],不利,Attracted,EVAL,304.0,0.0,Repelled,Yes,6.0,Attribute,,,
W_I_M_WYMU_SD_1,WYMU_SD,W,L2,SD,AR,[GLCLC text removed],不满,Attracted,MS,346.0,0.0,Repelled,Yes,6.0,Psych,,,
W_I_M_HJ_RU_3,HJ_RU,W,L2,RU,RU,[GLCLC text removed],不满,Attracted,MS,346.0,0.0,Repelled,Yes,6.0,Psych,,,
W_I_M_WM_RU,WM_RU,W,L2,RU,RU,[GLCLC text removed],不满,Attracted,EVAL,1.0,0.0,Repelled,Yes,6.0,Psych,,,
W_I_M_LTQ_PE_4,LTQ_PE,W,L2,PE,ES,[GLCLC text removed],严厉,Attracted,DISP,40.0,0.0,Repelled,Yes,5.0,Manner,,,
W_I_F_ACYL_JP_1,ACYL_JP,W,L2,JP,JP,[GLCLC text removed],严肃,Repelled,DISP,11.0,1.85,Attracted,Yes,4.0,Manner,,,
S_I_F_MLY_RU_1,MLY_RU,S,L2,RU,RU,[GLCLC text removed],习惯,Repelled,MS,130.0,1.85,Attracted,Yes,2.0,Psych,,,
S_I_F_ZTT_TH,ZTT_TH,S,L2,TH,TH,[GLCLC text removed],习惯,Repelled,MS,130.0,1.85,Attracted,Yes,2.0,Psych,,,
W_I_F_WLLY_RU_3,WLLY_RU,W,L2,RU,RU,[GLCLC text removed],习惯,Repelled,MS,130.0,1.85,Attracted,Yes,2.0,Psych,,,
W_I_F_MLY_RU_3,MLY_RU,W,L2,RU,RU,[GLCLC text removed],习惯,Repelled,MS,130.0,1.85,Attracted,Yes,2.0,Psych,,,
W_I_M_LTQ_PE_1,LTQ_PE,W,L2,PE,ES,[GLCLC text removed],习惯,Repelled,MS,130.0,1.85,Attracted,Yes,2.0,Psych,,,
S_I_F_MLY_RU_1,MLY_RU,S,L2,RU,RU,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_I_F_CSQS_VN,CSQS_VN,S,L2,VN,VN,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_I_F_JRR_KR,JRR_KR,S,L2,KR,KR,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_I_F_JSE_KR,JSE_KR,S,L2,KR,KR,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_I_F_LZA_KR,LZA_KR,S,L2,KR,KR,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_I_F_XSM_KR,XSM_KR,S,L2,KR,KR,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_I_M_HBB_NE,HBB_NE,S,L2,NE,FR,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_I_M_JZJ_KR,JZJ_KR,S,L2,KR,KR,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_I_M_LAQ_MG,LAQ_MG,S,L2,MG,Other,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_I_M_XMJ_FR,XMJ_FR,S,L2,FR,FR,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
W_I_F_JZLI_KR,JZLI_KR,W,L2,KR,KR,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
W_I_M_LDYI_KR_2,LDYI_KR,W,L2,KR,KR,[GLCLC text removed],满意,Attracted,MS,1602.0,25.95,Attracted,Yes,2.0,Psych,,,
W_I_M_LDYI_KR_2,LDYI_KR,W,L2,KR,KR,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
W_I_F_ZLE_KR,ZLE_KR,W,L2,KR,KR,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
W_I_F_AHR_KR,AHR_KR,W,L2,KR,KR,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
W_I_M_JNU_GN_2,JNU_GN,W,L2,GN,EN,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
W_I_F_RFM_VN_4,RFM_VN,W,L2,VN,VN,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
W_I_F_CAMLG_TH_3,CAMLG_TH,W,L2,TH,TH,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
W_I_F_CAMLG_TH_3,CAMLG_TH,W,L2,TH,TH,[GLCLC text removed],了解,Attracted,MS,1829.0,12.98,Attracted,Yes,2.0,Psych,,,
S_I_F_JDYI_KR+I_,JDYI_KR,S,L2,KR,KR,[GLCLC text removed],产生,Attracted,MS,3678.0,20.39,Attracted,Yes,4.0,Psych,,,
W_I_F_LZSA_KR_3,LZSA_KR,W,L2,KR,KR,[GLCLC text removed],产生,Attracted,MS,3678.0,20.39,Attracted,Yes,4.0,Psych,,,
W_I_M_MTY_RU,MTY_RU,W,L2,RU,RU,[GLCLC text removed],产生,Attracted,MS,3678.0,20.39,Attracted,Yes,4.0,Psych,,,
W_I_F_ZTT_TH_4,ZTT_TH,W,L2,TH,TH,[GLCLC text removed],产生,Attracted,MS,3678.0,20.39,Attracted,Yes,4.0,Psych,,,
W_I_M_SMER_KZ_1,SMER_KZ,W,L2,KZ,TK,[GLCLC text removed],产生,Attracted,MS,3678.0,20.39,Attracted,Yes,4.0,Psych,,,
W_I_F_CAMLG_TH_3,CAMLG_TH,W,L2,TH,TH,[GLCLC text removed],产生,Attracted,MS,3678.0,20.39,Attracted,Yes,4.0,Psych,,,
W_I_F_JRY_KR_3,JRY_KR,W,L2,KR,KR,[GLCLC text removed],说,Attracted,DA,63257.0,385.55,Attracted,No,4.0,Communication,,,
W_I_F_JHXU_KR_3,JHXU_KR,W,L2,KR,KR,[GLCLC text removed],亲切,Attracted,DISP,42.0,1.85,Attracted,Yes,4.0,Manner,,,
W_I_F_CAMLG_TH_6,CAMLG_TH,W,L2,TH,TH,[GLCLC text removed],体贴,Attracted,DISP,176.0,1.85,Attracted,Yes,4.0,Manner,,,
W_I_F_LQQ_TH_8,LQQ_TH,W,L2,TH,TH,[GLCLC text removed],做,Attracted,EVAL,7.0,3.71,Repelled,Yes,1.0,Functional,,,
S_I_M_WYMU_SD_3,WYMU_SD,S,L2,SD,AR,[GLCLC text removed],公平,Attracted,EVAL,115.0,1.85,Attracted,Yes,4.0,Attribute,,,
W_I_M_LDYI_KR_2,LDYI_KR,W,L2,KR,KR,[GLCLC text removed],关心,Attracted,MS,1040.0,18.54,Attracted,Yes,2.0,Manner,,,
W_I_F_ZZLI_KR_1,ZZLI_KR,W,L2,KR,KR,[GLCLC text removed],关心,Attracted,MS,1040.0,18.54,Attracted,Yes,2.0,Manner,,,
W_I_F_ZZLI_KR_1,ZZLI_KR,W,L2,KR,KR,[GLCLC text removed],关心,Attracted,MS,1040.0,18.54,Attracted,Yes,2.0,Manner,,,
W_I_F_YR_ES_10,YR_ES,W,L2,ES,ES,[GLCLC text removed],关心,Attracted,MS,1040.0,18.54,Attracted,Yes,2.0,Manner,,,
S_I_F_CAMLG_TH_2,CAMLG_TH,S,L2,TH,TH,[GLCLC text removed],冷漠,Attracted,DISP,26.0,0.0,Repelled,Yes,6.0,Manner,,,
W_I_M_GQQG_JP_3,GQQG_JP,W,L2,JP,JP,[GLCLC text removed],减免,Attracted,DISP,36.0,0.0,Repelled,Yes,6.0,Social,,,
W_I_F_ZSYI_TH_6,ZSYI_TH,W,L2,TH,TH,[GLCLC text removed],友善,Attracted,MS,31.0,0.0,Repelled,Yes,6.0,Manner,,,
W_I_M_AMIN_YE,AMIN_YE,W,L2,YE,AR,[GLCLC text removed],友好,Repelled,DISP,31.0,1.85,Attracted,Yes,3.0,Manner,,,
W_I_F_CHL_TH_1,CHL_TH,W,L2,TH,TH,[GLCLC text removed],友好,Repelled,EVAL,1.0,1.85,Attracted,Yes,3.0,Manner,,,
W_I_F_NLSA_KG_3,NLSA_KG,W,L2,KG,TK,[GLCLC text removed],友爱,Attracted,DISP,25.0,0.0,Repelled,Yes,6.0,Manner,,,
W_I_F_PZP_KR_1,PZP_KR,W,L2,KR,KR,[GLCLC text removed],发,Attracted,EVAL,368.0,0.0,Repelled,Yes,2.0,Functional,,,
W_I_F_CLY_KR_1,CLY_KR,W,L2,KR,KR,[GLCLC text removed],变,Repelled,EVAL,1.0,0.0,Repelled,No,2.0,Functional,,,
W_I_M_ZLO_RU,ZLO_RU,W,L2,RU,RU,[GLCLC text removed],吃惊,Attracted,MS,38.0,0.0,Repelled,Yes,3.0,Psych,,,
S_I_M_MHMAD_TJ,MHMAD_TJ,S,L2,TJ,Other,[GLCLC text removed],合适,Repelled,EVAL,40.0,0.0,Repelled,No,3.0,Attribute,,,
S_I_F_JXZ_KR_1,JXZ_KR,S,L2,KR,KR,[GLCLC text removed],合适,Repelled,EVAL,40.0,0.0,Repelled,No,3.0,Attribute,,,
W_I_F_JA_KR_5,JA_KR,W,L2,KR,KR,[GLCLC text removed],合适,Repelled,EVAL,40.0,0.0,Repelled,No,3.0,Attribute,,,
W_I_F_JA_KR_5,JA_KR,W,L2,KR,KR,[GLCLC text removed],合适,Repelled,EVAL,40.0,0.0,Repelled,No,3.0,Attribute,,,
W_I_F_JA_KR_5,JA_KR,W,L2,KR,KR,[GLCLC text removed],合适,Repelled,EVAL,40.0,0.0,Repelled,No,3.0,Attribute,,,
W_I_F_SZYI_KR_1,SZYI_KR,W,L2,KR,KR,[GLCLC text removed],和善,Attracted,DISP,9.0,0.0,Repelled,Yes,6.0,Manner,,,
W_I_F_JHXU_KR_3,JHXU_KR,W,L2,KR,KR,[GLCLC text removed],和蔼,Attracted,DISP,11.0,0.0,Repelled,Yes,5.0,Manner,,,
W_I_F_WDLY_RU_19,WDLY_RU,W,L2,RU,RU,[GLCLC text removed],喜爱,Attracted,MS,96.0,0.0,Repelled,No,6.0,Psych,,,
S_I_F_JXH_KR_3,JXH_KR,S,L2,KR,KR,[GLCLC text removed],失去,Attracted,EVAL,906.0,3.71,Attracted,Yes,4.0,Functional,,,
S_I_F_JZYA_KR_2,JZYA_KR,S,L2,KR,KR,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
S_I_F_OMLI_TH_2,OMLI_TH,S,L2,TH,TH,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
S_I_M_BALID_GN_2,BALID_GN,S,L2,GN,EN,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
S_I_M_SWJ_KZ_2,SWJ_KZ,S,L2,KZ,TK,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
S_I_F_JHXI_KR_2,JHXI_KR,S,L2,KR,KR,[GLCLC text removed],好,Repelled,DISP,613.0,5.56,Repelled,Yes,1.0,Manner,,,
